stego_filename,subset,expected_type,payload_type,payload_size_class,lsb,mode,predicted_type,correct
Flat-Color_1_S__docx_small__lsb1.bmp,core,DOCX,DOCX,small,1,full,DOCX,1
Flat-Color_1_S__docx_small__lsb1.bmp,core,DOCX,DOCX,small,1,no_deinterleaving,DOCX,1
Flat-Color_1_S__docx_small__lsb1.bmp,core,DOCX,DOCX,small,1,no_buffer,ZIP,0
Flat-Color_1_S__docx_small__lsb1.bmp,core,DOCX,DOCX,small,1,no_markers,ZIP,0
Flat-Color_1_S__docx_small__lsb2.bmp,core,DOCX,DOCX,small,2,full,DOCX,1
Flat-Color_1_S__docx_small__lsb2.bmp,core,DOCX,DOCX,small,2,no_deinterleaving,UNKNOWN,0
Flat-Color_1_S__docx_small__lsb2.bmp,core,DOCX,DOCX,small,2,no_buffer,ZIP,0
Flat-Color_1_S__docx_small__lsb2.bmp,core,DOCX,DOCX,small,2,no_markers,ZIP,0
Flat-Color_1_S__docx_small__lsb3.bmp,core,DOCX,DOCX,small,3,full,DOCX,1
Flat-Color_1_S__docx_small__lsb3.bmp,core,DOCX,DOCX,small,3,no_deinterleaving,UNKNOWN,0
Flat-Color_1_S__docx_small__lsb3.bmp,core,DOCX,DOCX,small,3,no_buffer,ZIP,0
Flat-Color_1_S__docx_small__lsb3.bmp,core,DOCX,DOCX,small,3,no_markers,ZIP,0
Flat-Color_1_S__exe_small__lsb1.bmp,core,EXE,EXE,small,1,full,EXE,1
Flat-Color_1_S__exe_small__lsb1.bmp,core,EXE,EXE,small,1,no_deinterleaving,EXE,1
Flat-Color_1_S__exe_small__lsb1.bmp,core,EXE,EXE,small,1,no_buffer,EXE,1
Flat-Color_1_S__exe_small__lsb1.bmp,core,EXE,EXE,small,1,no_markers,EXE,1
Flat-Color_1_S__exe_small__lsb2.bmp,core,EXE,EXE,small,2,full,EXE,1
Flat-Color_1_S__exe_small__lsb2.bmp,core,EXE,EXE,small,2,no_deinterleaving,UNKNOWN,0
Flat-Color_1_S__exe_small__lsb2.bmp,core,EXE,EXE,small,2,no_buffer,EXE,1
Flat-Color_1_S__exe_small__lsb2.bmp,core,EXE,EXE,small,2,no_markers,EXE,1
Flat-Color_1_S__exe_small__lsb3.bmp,core,EXE,EXE,small,3,full,EXE,1
Flat-Color_1_S__exe_small__lsb3.bmp,core,EXE,EXE,small,3,no_deinterleaving,UNKNOWN,0
Flat-Color_1_S__exe_small__lsb3.bmp,core,EXE,EXE,small,3,no_buffer,EXE,1
Flat-Color_1_S__exe_small__lsb3.bmp,core,EXE,EXE,small,3,no_markers,EXE,1
Flat-Color_1_S__pdf_small__lsb1.bmp,core,PDF,PDF,small,1,full,PDF,1
Flat-Color_1_S__pdf_small__lsb1.bmp,core,PDF,PDF,small,1,no_deinterleaving,PDF,1
Flat-Color_1_S__pdf_small__lsb1.bmp,core,PDF,PDF,small,1,no_buffer,PDF,1
Flat-Color_1_S__pdf_small__lsb1.bmp,core,PDF,PDF,small,1,no_markers,PDF,1
Flat-Color_1_S__pdf_small__lsb2.bmp,core,PDF,PDF,small,2,full,PDF,1
Flat-Color_1_S__pdf_small__lsb2.bmp,core,PDF,PDF,small,2,no_deinterleaving,UNKNOWN,0
Flat-Color_1_S__pdf_small__lsb2.bmp,core,PDF,PDF,small,2,no_buffer,PDF,1
Flat-Color_1_S__pdf_small__lsb2.bmp,core,PDF,PDF,small,2,no_markers,PDF,1
Flat-Color_1_S__pdf_small__lsb3.bmp,core,PDF,PDF,small,3,full,PDF,1
Flat-Color_1_S__pdf_small__lsb3.bmp,core,PDF,PDF,small,3,no_deinterleaving,UNKNOWN,0
