clean_id,evaluation_group,subset,category,filename,image_path,tested_lsb,baseline_detected_type,baseline_status,baseline_false_positive,structural_detected_type,structural_validation_status,structural_false_positive,tag_size,payload_length,tag_endian,header_hex,runtime_seconds,processing_error,error
original_core::Flat-Color_1_S.bmp,original,core,controlled_original,Flat-Color_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Flat-Color_1_S.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,4821540,little,,0.233151,0,
original_core::Flat-Color_1_S.bmp,original,core,controlled_original,Flat-Color_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Flat-Color_1_S.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,14891150,little,,0.224119,0,
original_core::Flat-Color_1_S.bmp,original,core,controlled_original,Flat-Color_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Flat-Color_1_S.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,13936979,little,,0.180622,0,
original_core::Flat-Color_2_M.png,original,core,controlled_original,Flat-Color_2_M.png,/home/kali/stego_dataset_expanded/covers_original/Flat-Color_2_M.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,9591369,little,,0.755560,0,
original_core::Flat-Color_2_M.png,original,core,controlled_original,Flat-Color_2_M.png,/home/kali/stego_dataset_expanded/covers_original/Flat-Color_2_M.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,10182936,little,,0.730073,0,
original_core::Flat-Color_2_M.png,original,core,controlled_original,Flat-Color_2_M.png,/home/kali/stego_dataset_expanded/covers_original/Flat-Color_2_M.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,10832533,little,,0.801926,0,
original_core::Grayscale_1_S.png,original,core,controlled_original,Grayscale_1_S.png,/home/kali/stego_dataset_expanded/covers_original/Grayscale_1_S.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,4287474,little,,0.021707,0,
original_core::Grayscale_1_S.png,original,core,controlled_original,Grayscale_1_S.png,/home/kali/stego_dataset_expanded/covers_original/Grayscale_1_S.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,1485949,little,,0.016113,0,
original_core::Grayscale_1_S.png,original,core,controlled_original,Grayscale_1_S.png,/home/kali/stego_dataset_expanded/covers_original/Grayscale_1_S.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,12113215,little,,0.015718,0,
original_core::Grayscale_2_M.bmp,original,core,controlled_original,Grayscale_2_M.bmp,/home/kali/stego_dataset_expanded/covers_original/Grayscale_2_M.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,16773631,little,,1.092060,0,
original_core::Grayscale_2_M.bmp,original,core,controlled_original,Grayscale_2_M.bmp,/home/kali/stego_dataset_expanded/covers_original/Grayscale_2_M.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,5592573,little,,0.889149,0,
original_core::Grayscale_2_M.bmp,original,core,controlled_original,Grayscale_2_M.bmp,/home/kali/stego_dataset_expanded/covers_original/Grayscale_2_M.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,7199597,little,,1.272272,0,
original_core::High-Detail_1_M.png,original,core,controlled_original,High-Detail_1_M.png,/home/kali/stego_dataset_expanded/covers_original/High-Detail_1_M.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,4733733,little,,0.946056,0,
original_core::High-Detail_1_M.png,original,core,controlled_original,High-Detail_1_M.png,/home/kali/stego_dataset_expanded/covers_original/High-Detail_1_M.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,8854318,little,,0.894802,0,
original_core::High-Detail_1_M.png,original,core,controlled_original,High-Detail_1_M.png,/home/kali/stego_dataset_expanded/covers_original/High-Detail_1_M.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,7856537,little,,0.790484,0,
original_core::High-Detail_2_L.png,original,core,controlled_original,High-Detail_2_L.png,/home/kali/stego_dataset_expanded/covers_original/High-Detail_2_L.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,7433407,little,,1.714469,0,
original_core::High-Detail_2_L.png,original,core,controlled_original,High-Detail_2_L.png,/home/kali/stego_dataset_expanded/covers_original/High-Detail_2_L.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,12384205,little,,1.392314,0,
original_core::High-Detail_2_L.png,original,core,controlled_original,High-Detail_2_L.png,/home/kali/stego_dataset_expanded/covers_original/High-Detail_2_L.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,3452935795,little,,1.566147,0,
original_core::Low-Detail_1_M.bmp,original,core,controlled_original,Low-Detail_1_M.bmp,/home/kali/stego_dataset_expanded/covers_original/Low-Detail_1_M.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,2378130,little,,0.687999,0,
original_core::Low-Detail_1_M.bmp,original,core,controlled_original,Low-Detail_1_M.bmp,/home/kali/stego_dataset_expanded/covers_original/Low-Detail_1_M.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,12234475,little,,0.681847,0,
original_core::Low-Detail_1_M.bmp,original,core,controlled_original,Low-Detail_1_M.bmp,/home/kali/stego_dataset_expanded/covers_original/Low-Detail_1_M.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,10370427,little,,0.788240,0,
original_core::Low-Detail_2_L.bmp,original,core,controlled_original,Low-Detail_2_L.bmp,/home/kali/stego_dataset_expanded/covers_original/Low-Detail_2_L.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,11930880,little,,1.554863,0,
original_core::Low-Detail_2_L.bmp,original,core,controlled_original,Low-Detail_2_L.bmp,/home/kali/stego_dataset_expanded/covers_original/Low-Detail_2_L.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,invalid_payload_length,0,3,0,little,,1.489336,0,
original_core::Low-Detail_2_L.bmp,original,core,controlled_original,Low-Detail_2_L.bmp,/home/kali/stego_dataset_expanded/covers_original/Low-Detail_2_L.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,270549120,little,,1.599325,0,
original_core::Mixed-Content_1_S.bmp,original,core,controlled_original,Mixed-Content_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_1_S.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,10231127,little,,0.179094,0,
original_core::Mixed-Content_1_S.bmp,original,core,controlled_original,Mixed-Content_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_1_S.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,10591635,little,,0.196622,0,
original_core::Mixed-Content_1_S.bmp,original,core,controlled_original,Mixed-Content_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_1_S.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,8224214,little,,0.188647,0,
original_core::Mixed-Content_2_L.bmp,original,core,controlled_original,Mixed-Content_2_L.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_2_L.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,12592677,little,,1.519570,0,
original_core::Mixed-Content_2_L.bmp,original,core,controlled_original,Mixed-Content_2_L.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_2_L.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,no_known_signature,0,3,299812,little,3e 5a 8a a5 ac 31 c0 7f,1.338093,0,
original_core::Mixed-Content_2_L.bmp,original,core,controlled_original,Mixed-Content_2_L.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_2_L.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,2422703512,little,,1.491136,0,
original_core::Noisy_1_S.bmp,original,core,controlled_original,Noisy_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Noisy_1_S.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,3350442,little,,0.210591,0,
