clean_id,evaluation_group,subset,category,filename,image_path
original_core::Flat-Color_1_S.bmp,original,core,controlled_original,Flat-Color_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Flat-Color_1_S.bmp
original_core::Flat-Color_2_M.png,original,core,controlled_original,Flat-Color_2_M.png,/home/kali/stego_dataset_expanded/covers_original/Flat-Color_2_M.png
original_core::Grayscale_1_S.png,original,core,controlled_original,Grayscale_1_S.png,/home/kali/stego_dataset_expanded/covers_original/Grayscale_1_S.png
original_core::Grayscale_2_M.bmp,original,core,controlled_original,Grayscale_2_M.bmp,/home/kali/stego_dataset_expanded/covers_original/Grayscale_2_M.bmp
original_core::High-Detail_1_M.png,original,core,controlled_original,High-Detail_1_M.png,/home/kali/stego_dataset_expanded/covers_original/High-Detail_1_M.png
original_core::High-Detail_2_L.png,original,core,controlled_original,High-Detail_2_L.png,/home/kali/stego_dataset_expanded/covers_original/High-Detail_2_L.png
original_core::Low-Detail_1_M.bmp,original,core,controlled_original,Low-Detail_1_M.bmp,/home/kali/stego_dataset_expanded/covers_original/Low-Detail_1_M.bmp
original_core::Low-Detail_2_L.bmp,original,core,controlled_original,Low-Detail_2_L.bmp,/home/kali/stego_dataset_expanded/covers_original/Low-Detail_2_L.bmp
original_core::Mixed-Content_1_S.bmp,original,core,controlled_original,Mixed-Content_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_1_S.bmp
original_core::Mixed-Content_2_L.bmp,original,core,controlled_original,Mixed-Content_2_L.bmp,/home/kali/stego_dataset_expanded/covers_original/Mixed-Content_2_L.bmp
original_core::Noisy_1_S.bmp,original,core,controlled_original,Noisy_1_S.bmp,/home/kali/stego_dataset_expanded/covers_original/Noisy_1_S.bmp
original_core::Noisy_2_M.png,original,core,controlled_original,Noisy_2_M.png,/home/kali/stego_dataset_expanded/covers_original/Noisy_2_M.png
original_core::Photographic_1_S.png,original,core,controlled_original,Photographic_1_S.png,/home/kali/stego_dataset_expanded/covers_original/Photographic_1_S.png
original_core::Photographic_2_M.bmp,original,core,controlled_original,Photographic_2_M.bmp,/home/kali/stego_dataset_expanded/covers_original/Photographic_2_M.bmp
original_core::Transparency_1_S.png,original,core,controlled_original,Transparency_1_S.png,/home/kali/stego_dataset_expanded/covers_original/Transparency_1_S.png
original_core::Transparency_2_L.png,original,core,controlled_original,Transparency_2_L.png,/home/kali/stego_dataset_expanded/covers_original/Transparency_2_L.png
original_xl::XL-Synthetic_10_B.bmp,original,xl,controlled_original,XL-Synthetic_10_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_10_B.bmp
original_xl::XL-Synthetic_10_P.png,original,xl,controlled_original,XL-Synthetic_10_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_10_P.png
original_xl::XL-Synthetic_11_B.bmp,original,xl,controlled_original,XL-Synthetic_11_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_11_B.bmp
original_xl::XL-Synthetic_11_P.png,original,xl,controlled_original,XL-Synthetic_11_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_11_P.png
