subset,stego_filename,stego_path,cover_filename,cover_category,cover_variant,cover_size_label,cover_format,payload_filename,payload_type,payload_size_class,lsb,expected_type,resolved_stego_path,baseline_detected_type,baseline_status,baseline_exact_correct,structural_detected_type,structural_validation_status,structural_correct,tag_size,payload_length,tag_endian,header_hex,runtime_seconds,error
core,Flat-Color_1_S__docx_small__lsb1.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb1.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P01.docx,docx,small,1,DOCX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb1.bmp,ZIP,signature_pk_zip,0,DOCX,validated_ooxml_docx,1,3,13432,little,50 4b 03 04 14 00 06 00,0.153080,
core,Flat-Color_1_S__docx_small__lsb2.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb2.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P01.docx,docx,small,2,DOCX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb2.bmp,ZIP,signature_pk_zip,0,DOCX,validated_ooxml_docx,1,3,13432,little,50 4b 03 04 14 00 06 00,0.144969,
core,Flat-Color_1_S__docx_small__lsb3.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb3.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P01.docx,docx,small,3,DOCX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb3.bmp,ZIP,signature_pk_zip,0,DOCX,validated_ooxml_docx,1,3,13432,little,50 4b 03 04 14 00 06 00,0.138593,
core,Flat-Color_1_S__exe_small__lsb1.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__exe_small__lsb1.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P06.exe,exe,small,1,EXE,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__exe_small__lsb1.bmp,EXE,signature_mz,1,EXE,validated_mz_pe_header,1,3,40448,little,4d 5a 90 00 03 00 00 00,0.135614,
core,Flat-Color_1_S__exe_small__lsb2.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__exe_small__lsb2.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P06.exe,exe,small,2,EXE,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__exe_small__lsb2.bmp,EXE,signature_mz,1,EXE,validated_mz_pe_header,1,3,40448,little,4d 5a 90 00 03 00 00 00,0.155223,
core,Flat-Color_1_S__exe_small__lsb3.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__exe_small__lsb3.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P06.exe,exe,small,3,EXE,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__exe_small__lsb3.bmp,EXE,signature_mz,1,EXE,validated_mz_pe_header,1,3,40448,little,4d 5a 90 00 03 00 00 00,0.145843,
core,Flat-Color_1_S__pdf_small__lsb1.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pdf_small__lsb1.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P02.pdf,pdf,small,1,PDF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pdf_small__lsb1.bmp,PDF,signature_pdf,1,PDF,validated_pdf_startxref_eof,1,3,16620,little,25 50 44 46 2d 31 2e 37,0.156980,
core,Flat-Color_1_S__pdf_small__lsb2.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pdf_small__lsb2.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P02.pdf,pdf,small,2,PDF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pdf_small__lsb2.bmp,PDF,signature_pdf,1,PDF,validated_pdf_startxref_eof,1,3,16620,little,25 50 44 46 2d 31 2e 37,0.140170,
core,Flat-Color_1_S__pdf_small__lsb3.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pdf_small__lsb3.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P02.pdf,pdf,small,3,PDF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pdf_small__lsb3.bmp,PDF,signature_pdf,1,PDF,validated_pdf_startxref_eof,1,3,16620,little,25 50 44 46 2d 31 2e 37,0.143324,
core,Flat-Color_1_S__pptx_small__lsb1.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pptx_small__lsb1.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P04.pptx,pptx,small,1,PPTX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pptx_small__lsb1.bmp,ZIP,signature_pk_zip,0,PPTX,validated_ooxml_pptx,1,3,32020,little,50 4b 03 04 14 00 06 00,0.148226,
core,Flat-Color_1_S__pptx_small__lsb2.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pptx_small__lsb2.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P04.pptx,pptx,small,2,PPTX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pptx_small__lsb2.bmp,ZIP,signature_pk_zip,0,PPTX,validated_ooxml_pptx,1,3,32020,little,50 4b 03 04 14 00 06 00,0.144149,
core,Flat-Color_1_S__pptx_small__lsb3.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pptx_small__lsb3.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P04.pptx,pptx,small,3,PPTX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pptx_small__lsb3.bmp,ZIP,signature_pk_zip,0,PPTX,validated_ooxml_pptx,1,3,32020,little,50 4b 03 04 14 00 06 00,0.157962,
core,Flat-Color_1_S__rtf_small__lsb1.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__rtf_small__lsb1.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P05.rtf,rtf,small,1,RTF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__rtf_small__lsb1.bmp,RTF,signature_rtf,1,RTF,validated_rtf_structure,1,3,50275,little,7b 5c 72 74 66 31 5c 61,0.161181,
core,Flat-Color_1_S__rtf_small__lsb2.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__rtf_small__lsb2.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P05.rtf,rtf,small,2,RTF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__rtf_small__lsb2.bmp,RTF,signature_rtf,1,RTF,validated_rtf_structure,1,3,50275,little,7b 5c 72 74 66 31 5c 61,0.251742,
core,Flat-Color_1_S__rtf_small__lsb3.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__rtf_small__lsb3.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P05.rtf,rtf,small,3,RTF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__rtf_small__lsb3.bmp,RTF,signature_rtf,1,RTF,validated_rtf_structure,1,3,50275,little,7b 5c 72 74 66 31 5c 61,0.151235,
core,Flat-Color_1_S__xlsx_small__lsb1.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__xlsx_small__lsb1.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P03.xlsx,xlsx,small,1,XLSX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__xlsx_small__lsb1.bmp,ZIP,signature_pk_zip,0,XLSX,validated_ooxml_xlsx,1,3,8899,little,50 4b 03 04 14 00 06 00,0.152290,
