subset,filename,relative_path,format,width,height,mode,bands,channel_count,size_bytes,sha256
covers_original,Flat-Color_1_S.bmp,covers_original/Flat-Color_1_S.bmp,BMP,512,512,RGB,RGB,3,787026,d6c59adf4698471c28405c0d53851b223147f5a6b42222a3967e6a74c6b89dff
covers_original,Flat-Color_2_M.png,covers_original/Flat-Color_2_M.png,PNG,1024,1024,RGB,RGB,3,484982,29c542c681f3b3734e636651f84ae8a9660696ac070fdd66bd8d0e20dd23193b
covers_original,Grayscale_1_S.png,covers_original/Grayscale_1_S.png,PNG,512,512,L,L,1,176387,b90109eaa43195e76f751957bad617709de392e2b74ab33a9cc213769f55e14b
covers_original,Grayscale_2_M.bmp,covers_original/Grayscale_2_M.bmp,BMP,1024,1024,RGB,RGB,3,3146322,6926e5f0d91f548d019a158ccd656f1a9c7dc8b5296b53dd41378028e1fe2b2c
covers_original,High-Detail_1_M.png,covers_original/High-Detail_1_M.png,PNG,1024,1024,RGB,RGB,3,1450645,9c1ad325ef65fcb95c38ecd00b563781081c1b65380a82745e7ba4a0a4a306a7
covers_original,High-Detail_2_L.png,covers_original/High-Detail_2_L.png,PNG,1920,1080,RGB,RGB,3,4916393,f60ee114af759bf4a0fa9f8334282a9b20b3d681aad27a1814f74cfba5ee0876
covers_original,Low-Detail_1_M.bmp,covers_original/Low-Detail_1_M.bmp,BMP,1024,1024,RGB,RGB,3,3146322,b13749999608dc3f71ba28438127b9b03e1aeabfd5125c1a79b79924f374ef9b
covers_original,Low-Detail_2_L.bmp,covers_original/Low-Detail_2_L.bmp,BMP,1920,1080,RGB,RGB,3,6221394,968cdf688b7843955bfc7bd17bca020b50b4c658ceee1a75c2242cd06d50cde0
covers_original,Mixed-Content_1_S.bmp,covers_original/Mixed-Content_1_S.bmp,BMP,512,512,RGB,RGB,3,787026,3e854d0f55c05e356f33592f90d7da3ff1024c51678139a70959d997ed6e9c18
covers_original,Mixed-Content_2_L.bmp,covers_original/Mixed-Content_2_L.bmp,BMP,1920,1080,RGB,RGB,3,6221394,3d40da08b7950a7525d2d3f58634bdb8c9015697b3b7ab72ffcfd66353eeb952
covers_original,Noisy_1_S.bmp,covers_original/Noisy_1_S.bmp,BMP,512,512,RGB,RGB,3,787026,b493acdd7d3bce3442c7ad6e2e26b2815ca8c8d18633d5aadfe8b0606be6d0de
covers_original,Noisy_2_M.png,covers_original/Noisy_2_M.png,PNG,1024,1024,RGB,RGB,3,2655115,f4c46a8cefbdbedb64340a9660d56751b7c4074fb052612223e97f65889a8842
covers_original,Photographic_1_S.png,covers_original/Photographic_1_S.png,PNG,512,512,RGB,RGB,3,435256,0d62a239dbfc0126f5ca81de0cfa07712d582837e84453c1771e91a1e4713a70
covers_original,Photographic_2_M.bmp,covers_original/Photographic_2_M.bmp,BMP,1024,1024,RGB,RGB,3,3146322,579ab3b014fb43e85454b6fa60ba9f99111fd6b695c42d40c2bc04acbfa48a3c
covers_original,Transparency_1_S.png,covers_original/Transparency_1_S.png,PNG,512,512,RGB,RGB,3,213264,f547c86eadce4809792b7b08eb60217af27a76b173d4824b58885e9e78806d04
covers_original,Transparency_2_L.png,covers_original/Transparency_2_L.png,PNG,1920,1080,RGB,RGB,3,279056,c01091025e4fbede0f9f5f37ec2a1c3d43d8dba2707126940c5e2c31bd762246
covers_extended_xl,XL-Synthetic_10_B.bmp,covers_extended_xl/XL-Synthetic_10_B.bmp,BMP,4200,4200,RGB,RGB,3,52920054,a27d88933867048c2d8e2955b7336c767d197485740ee7bcea56c12542fef7bd
covers_extended_xl,XL-Synthetic_10_P.png,covers_extended_xl/XL-Synthetic_10_P.png,PNG,1000,1000,RGB,RGB,3,48334496,ed0eb29f7aad05da0312d62671ceced7242692fc0e01457a2df176c12f9b4ff6
covers_extended_xl,XL-Synthetic_11_B.bmp,covers_extended_xl/XL-Synthetic_11_B.bmp,BMP,4597,4597,RGB,RGB,3,63401878,8b9a84b7349cf9eef779741083f5725a7a1b0c1de885201bce197ba6bea44337
covers_extended_xl,XL-Synthetic_11_P.png,covers_extended_xl/XL-Synthetic_11_P.png,PNG,1000,1000,RGB,RGB,3,49383072,15fd33ccbd956a088da80368823533a611127c8efd58a7238256db97d0ca7d42
covers_extended_xl,XL-Synthetic_12_B.bmp,covers_extended_xl/XL-Synthetic_12_B.bmp,BMP,4979,4979,RGB,RGB,3,74386314,1679c6f60e6079aa64c584cd820c294bcda48acec42b75021d17cbaf93d6f8df
covers_extended_xl,XL-Synthetic_12_P.png,covers_extended_xl/XL-Synthetic_12_P.png,PNG,1000,1000,RGB,RGB,3,63114560,8da4e2483d3b9f36a9e9bb2e2bf1b25fda5ccd0ba37af6bd526e97df6132fc7a
covers_extended_xl,XL-Synthetic_13_B.bmp,covers_extended_xl/XL-Synthetic_13_B.bmp,BMP,5319,5319,RGB,RGB,3,84891294,cc1bc0923c04257c17dcc6a41c489f86865555e163082ed92962f59c5d446208
covers_extended_xl,XL-Synthetic_13_P.png,covers_extended_xl/XL-Synthetic_13_P.png,PNG,1000,1000,RGB,RGB,3,73600320,e3a2d219f8f8925817bc275c824f54dd748086a35e10795c7a9da43dd30895fe
covers_extended_xl,XL-Synthetic_14_B.bmp,covers_extended_xl/XL-Synthetic_14_B.bmp,BMP,5623,5623,RGB,RGB,3,94871310,88b1f308d9f91e66236312f41bb942d7bff05e3b27bc459ffc9cc92afd96d013
covers_extended_xl,XL-Synthetic_14_P.png,covers_extended_xl/XL-Synthetic_14_P.png,PNG,1000,1000,RGB,RGB,3,84086080,b73600b60b22d14d4ab573c0e5f5398491df3d666aa4acfc76b6c2aff6167ea7
covers_extended_xl,XL-Synthetic_15_B.bmp,covers_extended_xl/XL-Synthetic_15_B.bmp,BMP,5926,5926,RGB,RGB,3,105364334,abe392126ff82a801f10720ab0e248c8f4fa0f4196cf4bd41894876534ba25bb
covers_extended_xl,XL-Synthetic_15_P.png,covers_extended_xl/XL-Synthetic_15_P.png,PNG,1000,1000,RGB,RGB,3,94571840,1bd3eb65a2c432466dbc0891c93fd37e33c295e4cafa0f66bbb24ad97d443f81
covers_extended_xl,XL-Synthetic_1_B.bmp,covers_extended_xl/XL-Synthetic_1_B.bmp,BMP,2234,2234,RGB,RGB,3,14976790,4fd89af66c1bc119ef596e26266dea98624611651f911c218b06622f2ca5515b
covers_extended_xl,XL-Synthetic_1_P.png,covers_extended_xl/XL-Synthetic_1_P.png,PNG,1000,1000,RGB,RGB,3,33654432,2de2fbd20411153d77919236b2740df461c8f86389a525406e19c8a5849d2bd1
covers_extended_xl,XL-Synthetic_2_B.bmp,covers_extended_xl/XL-Synthetic_2_B.bmp,BMP,2311,2311,RGB,RGB,3,16029150,d2d234b9eb7ffe3e19f02e18329f907f2014ab29e57e4ac016b48272fe9fff68
covers_extended_xl,XL-Synthetic_2_P.png,covers_extended_xl/XL-Synthetic_2_P.png,PNG,1000,1000,RGB,RGB,3,35751584,5003f336d40c5d8b0aa812126809b2f5f0d6e53637adab43ce4312fcd7bb4278
covers_extended_xl,XL-Synthetic_3_B.bmp,covers_extended_xl/XL-Synthetic_3_B.bmp,BMP,2388,2388,RGB,RGB,3,17107686,064420a4f8c2fc223aeeceefcaa28c76c2e2f820cb7051adfe65de7641d6d019
