subset,stego_filename,stego_path,cover_filename,cover_category,cover_variant,cover_size_label,cover_format,payload_filename,payload_type,payload_size_class,lsb,expected_type,predicted_type,correct
core,Flat-Color_1_S__docx_small__lsb1.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb1.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P01.docx,docx,small,1,DOCX,DOCX,1
core,Flat-Color_1_S__docx_small__lsb2.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb2.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P01.docx,docx,small,2,DOCX,DOCX,1
core,Flat-Color_1_S__docx_small__lsb3.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb3.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P01.docx,docx,small,3,DOCX,DOCX,1
core,Flat-Color_1_S__exe_small__lsb1.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__exe_small__lsb1.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P06.exe,exe,small,1,EXE,EXE,1
core,Flat-Color_1_S__exe_small__lsb2.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__exe_small__lsb2.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P06.exe,exe,small,2,EXE,EXE,1
core,Flat-Color_1_S__exe_small__lsb3.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__exe_small__lsb3.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P06.exe,exe,small,3,EXE,EXE,1
core,Flat-Color_1_S__pdf_small__lsb1.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pdf_small__lsb1.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P02.pdf,pdf,small,1,PDF,PDF,1
core,Flat-Color_1_S__pdf_small__lsb2.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pdf_small__lsb2.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P02.pdf,pdf,small,2,PDF,PDF,1
core,Flat-Color_1_S__pdf_small__lsb3.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pdf_small__lsb3.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P02.pdf,pdf,small,3,PDF,PDF,1
core,Flat-Color_1_S__pptx_small__lsb1.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__pptx_small__lsb1.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P04.pptx,pptx,small,1,PPTX,PPTX,1
