subset,cover_filename,cover_category,cover_variant,cover_size_label,cover_format,cover_mode,cover_width,cover_height,cover_channels,payload_filename,payload_type,payload_size_class,payload_size_bytes,lsb,capacity_bytes,status,reason
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P01.docx,docx,large,1121154,1,98304,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P01.docx,docx,large,1121154,2,196608,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P01.docx,docx,large,1121154,3,294912,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P01.docx,docx,medium,511127,1,98304,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P01.docx,docx,medium,511127,2,196608,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P01.docx,docx,medium,511127,3,294912,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P01.docx,docx,small,13432,1,98304,OK,
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P01.docx,docx,small,13432,2,196608,OK,
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P01.docx,docx,small,13432,3,294912,OK,
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P06.exe,exe,large,1017856,1,98304,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
core,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,RGB,512,512,3,P06.exe,exe,large,1017856,2,196608,SKIP_CAPACITY,Payload exceeds cover capacity at selected LSB depth
