image,subset,lsb,predicted,false_positive
XL-Synthetic_14_P.png,XL,1,UNKNOWN,0
XL-Synthetic_14_P.png,XL,2,UNKNOWN,0
XL-Synthetic_14_P.png,XL,3,UNKNOWN,0
XL-Synthetic_4_P.png,XL,1,UNKNOWN,0
XL-Synthetic_4_P.png,XL,2,UNKNOWN,0
XL-Synthetic_4_P.png,XL,3,UNKNOWN,0
XL-Synthetic_5_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_5_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_5_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_12_P.png,XL,1,UNKNOWN,0
XL-Synthetic_12_P.png,XL,2,UNKNOWN,0
XL-Synthetic_12_P.png,XL,3,UNKNOWN,0
XL-Synthetic_4_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_4_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_4_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_1_P.png,XL,1,UNKNOWN,0
XL-Synthetic_1_P.png,XL,2,UNKNOWN,0
XL-Synthetic_1_P.png,XL,3,UNKNOWN,0
XL-Synthetic_10_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_10_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_10_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_12_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_12_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_12_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_6_P.png,XL,1,UNKNOWN,0
XL-Synthetic_6_P.png,XL,2,UNKNOWN,0
XL-Synthetic_6_P.png,XL,3,UNKNOWN,0
XL-Synthetic_11_P.png,XL,1,UNKNOWN,0
XL-Synthetic_11_P.png,XL,2,UNKNOWN,0
XL-Synthetic_11_P.png,XL,3,UNKNOWN,0
XL-Synthetic_7_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_7_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_7_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_13_P.png,XL,1,UNKNOWN,0
XL-Synthetic_13_P.png,XL,2,UNKNOWN,0
XL-Synthetic_13_P.png,XL,3,UNKNOWN,0
XL-Synthetic_2_P.png,XL,1,UNKNOWN,0
XL-Synthetic_2_P.png,XL,2,UNKNOWN,0
XL-Synthetic_2_P.png,XL,3,UNKNOWN,0
XL-Synthetic_6_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_6_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_6_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_10_P.png,XL,1,UNKNOWN,0
XL-Synthetic_10_P.png,XL,2,UNKNOWN,0
XL-Synthetic_10_P.png,XL,3,UNKNOWN,0
XL-Synthetic_14_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_14_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_14_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_9_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_9_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_9_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_9_P.png,XL,1,UNKNOWN,0
XL-Synthetic_9_P.png,XL,2,UNKNOWN,0
XL-Synthetic_9_P.png,XL,3,UNKNOWN,0
XL-Synthetic_15_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_15_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_15_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_5_P.png,XL,1,UNKNOWN,0
XL-Synthetic_5_P.png,XL,2,UNKNOWN,0
XL-Synthetic_5_P.png,XL,3,UNKNOWN,0
XL-Synthetic_7_P.png,XL,1,UNKNOWN,0
XL-Synthetic_7_P.png,XL,2,UNKNOWN,0
XL-Synthetic_7_P.png,XL,3,UNKNOWN,0
XL-Synthetic_8_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_8_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_8_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_15_P.png,XL,1,UNKNOWN,0
XL-Synthetic_15_P.png,XL,2,UNKNOWN,0
XL-Synthetic_15_P.png,XL,3,UNKNOWN,0
XL-Synthetic_2_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_2_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_2_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_3_P.png,XL,1,UNKNOWN,0
XL-Synthetic_3_P.png,XL,2,UNKNOWN,0
XL-Synthetic_3_P.png,XL,3,UNKNOWN,0
XL-Synthetic_1_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_1_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_1_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_11_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_11_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_11_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_13_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_13_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_13_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_3_B.bmp,XL,1,UNKNOWN,0
XL-Synthetic_3_B.bmp,XL,2,UNKNOWN,0
XL-Synthetic_3_B.bmp,XL,3,UNKNOWN,0
XL-Synthetic_8_P.png,XL,1,UNKNOWN,0
XL-Synthetic_8_P.png,XL,2,UNKNOWN,0
XL-Synthetic_8_P.png,XL,3,UNKNOWN,0
Low-Detail_2_L.bmp,CORE,1,UNKNOWN,0
Low-Detail_2_L.bmp,CORE,2,UNKNOWN,0
Low-Detail_2_L.bmp,CORE,3,UNKNOWN,0
Transparency_2_L.png,CORE,1,UNKNOWN,0
Transparency_2_L.png,CORE,2,UNKNOWN,0
Transparency_2_L.png,CORE,3,UNKNOWN,0
Noisy_1_S.bmp,CORE,1,UNKNOWN,0
Noisy_1_S.bmp,CORE,2,UNKNOWN,0
Noisy_1_S.bmp,CORE,3,UNKNOWN,0
Grayscale_2_M.bmp,CORE,1,UNKNOWN,0
Grayscale_2_M.bmp,CORE,2,UNKNOWN,0
Grayscale_2_M.bmp,CORE,3,UNKNOWN,0
Transparency_1_S.png,CORE,1,UNKNOWN,0
Transparency_1_S.png,CORE,2,UNKNOWN,0
Transparency_1_S.png,CORE,3,UNKNOWN,0
Low-Detail_1_M.bmp,CORE,1,UNKNOWN,0
Low-Detail_1_M.bmp,CORE,2,UNKNOWN,0
Low-Detail_1_M.bmp,CORE,3,UNKNOWN,0
Mixed-Content_2_L.bmp,CORE,1,UNKNOWN,0
Mixed-Content_2_L.bmp,CORE,2,UNKNOWN,0
Mixed-Content_2_L.bmp,CORE,3,UNKNOWN,0
Flat-Color_2_M.png,CORE,1,UNKNOWN,0
Flat-Color_2_M.png,CORE,2,UNKNOWN,0
Flat-Color_2_M.png,CORE,3,UNKNOWN,0
Mixed-Content_1_S.bmp,CORE,1,UNKNOWN,0
Mixed-Content_1_S.bmp,CORE,2,UNKNOWN,0
Mixed-Content_1_S.bmp,CORE,3,UNKNOWN,0
Photographic_1_S.png,CORE,1,UNKNOWN,0
Photographic_1_S.png,CORE,2,UNKNOWN,0
Photographic_1_S.png,CORE,3,UNKNOWN,0
High-Detail_2_L.png,CORE,1,UNKNOWN,0
High-Detail_2_L.png,CORE,2,UNKNOWN,0
High-Detail_2_L.png,CORE,3,UNKNOWN,0
High-Detail_1_M.png,CORE,1,UNKNOWN,0
High-Detail_1_M.png,CORE,2,UNKNOWN,0
High-Detail_1_M.png,CORE,3,UNKNOWN,0
Flat-Color_1_S.bmp,CORE,1,UNKNOWN,0
Flat-Color_1_S.bmp,CORE,2,UNKNOWN,0
Flat-Color_1_S.bmp,CORE,3,UNKNOWN,0
Noisy_2_M.png,CORE,1,UNKNOWN,0
Noisy_2_M.png,CORE,2,UNKNOWN,0
Noisy_2_M.png,CORE,3,UNKNOWN,0
Grayscale_1_S.png,CORE,1,ERROR,1
Grayscale_1_S.png,CORE,2,ERROR,1
Grayscale_1_S.png,CORE,3,ERROR,1
Photographic_2_M.bmp,CORE,1,UNKNOWN,0
Photographic_2_M.bmp,CORE,2,UNKNOWN,0
Photographic_2_M.bmp,CORE,3,UNKNOWN,0
