payload_type,size_class,filename,relative_path,size_bytes,sha256
DOCX,large,P01.docx,docx/large/P01.docx,1121154,d85f4e07182ccc0b7370120a90f2e92124ab392ca7eb25a70664aedf7db98391
DOCX,medium,P01.docx,docx/medium/P01.docx,511127,1ba9cbbb0e4de75d2a92a7647ed89c9b6b7264f9aa117f7b2c76ee522bed8ffd
DOCX,small,P01.docx,docx/small/P01.docx,13432,b04117e46299950e70c961f33007affeec4e2d9fdffe27d64225ea3361f3c2c2
EXE,large,P06.exe,exe/large/P06.exe,1017856,68dce1774763ef5c2ed853d26b6d0a9d1f9e70cb83f08b7e5c28069aa0b92bb3
EXE,medium,P06.exe,exe/medium/P06.exe,505856,8dbba6af13993a1c9eb868ded6a68101c036f025aefe055ac98932ebe6233366
EXE,small,P06.exe,exe/small/P06.exe,40448,e99c275bc74742ccaf781942ee66a06e6da063ceacb9165d61ee67fc84b3558d
PDF,large,P02.pdf,pdf/large/P02.pdf,1100144,96b2a596814024500a6370b4f4114a24a4fbebed0efc3238d4d496b596f32f86
PDF,medium,P02.pdf,pdf/medium/P02.pdf,510410,966723608196b8fca5595a22942dc28d5b135a4450a6f1eb62047d5cf7b3aedd
PDF,small,P02.pdf,pdf/small/P02.pdf,16620,ccb5bfa09736c67905e73badbe35908e560a5db19b8f728782faf59263b2bac3
PPTX,large,P04.pptx,pptx/large/P04.pptx,1082610,aaf4534068ffe6f729e88fbf81a131265f50de2eb13cef809f62a837761b4253
PPTX,medium,P04.pptx,pptx/medium/P04.pptx,512113,aa904f3d7c7f9aa455a7b5ee385b5781d589e6a489204af5946c6a531870af8f
PPTX,small,P04.pptx,pptx/small/P04.pptx,32020,35056fa8e4c092fa0eeaa190f443b043bb5de106ea98fc60acb4ddcde032afc1
RTF,large,P05.rtf,rtf/large/P05.rtf,1085026,545cffd0fbe900f7a29756cd3c141978ec65d77d1c13aa88501f97540e9c9b5e
RTF,medium,P05.rtf,rtf/medium/P05.rtf,511504,69d28857559eece2b43c6994bf5d55c38d16e59e380d44f92deef4fa085553e4
RTF,small,P05.rtf,rtf/small/P05.rtf,50275,64b9bcdefb450b717301289b3e5241beaad94a7386da121a1ae918e512b54e93
XLSX,large,P03.xlsx,xlsx/large/P03.xlsx,1090468,16f533fdabcbd820dbf0563bb39b413b8a8cf708d22508e94662caa01c048e25
XLSX,medium,P03.xlsx,xlsx/medium/P03.xlsx,511280,903061e7e5762bfd3d1edf258d9ebfa23a4fe681b68da249437d8103112198b1
XLSX,small,P03.xlsx,xlsx/small/P03.xlsx,8899,cc63c8229e9651891a2b136a4e0e36a410ffa84515f9e26803a91e99ca55c1c2
