scenario,file,subset,expected_type,true_lsb,tested_path,predicted_type,outcome,correct,unknown,misclassified,error,random_seed,jpeg_quality,resize_scale,noise_sigma
Original,Flat-Color_1_S__docx_small__lsb1.bmp,core,DOCX,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb1.bmp,DOCX,Correct,1,0,0,0,,,,
JPEG Compression,Flat-Color_1_S__docx_small__lsb1.bmp,core,DOCX,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__docx_small__lsb1__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,Flat-Color_1_S__docx_small__lsb1.bmp,core,DOCX,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__docx_small__lsb1__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,Flat-Color_1_S__docx_small__lsb1.bmp,core,DOCX,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__docx_small__lsb1__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,Flat-Color_1_S__docx_small__lsb1.bmp,core,DOCX,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb1.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,Flat-Color_1_S__docx_small__lsb1.bmp,core,DOCX,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb1.bmp,ZIP,Unknown,0,1,0,0,,,,
Original,Flat-Color_1_S__docx_small__lsb2.bmp,core,DOCX,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb2.bmp,DOCX,Correct,1,0,0,0,,,,
JPEG Compression,Flat-Color_1_S__docx_small__lsb2.bmp,core,DOCX,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__docx_small__lsb2__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,Flat-Color_1_S__docx_small__lsb2.bmp,core,DOCX,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__docx_small__lsb2__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,Flat-Color_1_S__docx_small__lsb2.bmp,core,DOCX,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__docx_small__lsb2__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,Flat-Color_1_S__docx_small__lsb2.bmp,core,DOCX,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb2.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,Flat-Color_1_S__docx_small__lsb2.bmp,core,DOCX,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb2.bmp,ZIP,Unknown,0,1,0,0,,,,
Original,Flat-Color_1_S__docx_small__lsb3.bmp,core,DOCX,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb3.bmp,DOCX,Correct,1,0,0,0,,,,
JPEG Compression,Flat-Color_1_S__docx_small__lsb3.bmp,core,DOCX,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__docx_small__lsb3__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,Flat-Color_1_S__docx_small__lsb3.bmp,core,DOCX,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__docx_small__lsb3__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,Flat-Color_1_S__docx_small__lsb3.bmp,core,DOCX,3,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__docx_small__lsb3__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,Flat-Color_1_S__docx_small__lsb3.bmp,core,DOCX,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb3.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,Flat-Color_1_S__docx_small__lsb3.bmp,core,DOCX,3,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__docx_small__lsb3.bmp,ZIP,Unknown,0,1,0,0,,,,
Original,Flat-Color_1_S__exe_small__lsb1.bmp,core,EXE,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__exe_small__lsb1.bmp,EXE,Correct,1,0,0,0,,,,
JPEG Compression,Flat-Color_1_S__exe_small__lsb1.bmp,core,EXE,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__exe_small__lsb1__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,Flat-Color_1_S__exe_small__lsb1.bmp,core,EXE,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__exe_small__lsb1__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,Flat-Color_1_S__exe_small__lsb1.bmp,core,EXE,1,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__exe_small__lsb1__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
Wrong LSB Depth,Flat-Color_1_S__exe_small__lsb1.bmp,core,EXE,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__exe_small__lsb1.bmp,UNKNOWN,Unknown,0,1,0,0,,,,
Reduced Buffer,Flat-Color_1_S__exe_small__lsb1.bmp,core,EXE,1,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__exe_small__lsb1.bmp,EXE,Correct,1,0,0,0,,,,
Original,Flat-Color_1_S__exe_small__lsb2.bmp,core,EXE,2,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__exe_small__lsb2.bmp,EXE,Correct,1,0,0,0,,,,
JPEG Compression,Flat-Color_1_S__exe_small__lsb2.bmp,core,EXE,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__exe_small__lsb2__jpeg_q85.jpg,UNKNOWN,Unknown,0,1,0,0,,85,,
Resizing,Flat-Color_1_S__exe_small__lsb2.bmp,core,EXE,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__exe_small__lsb2__resize_90.png,UNKNOWN,Unknown,0,1,0,0,,,0.9,
Slight Noise,Flat-Color_1_S__exe_small__lsb2.bmp,core,EXE,2,/home/kali/Desktop/stego_dataset_expanded/robustness_test/Flat-Color_1_S__exe_small__lsb2__noise.png,UNKNOWN,Unknown,0,1,0,0,42,,,8.0
