index,subset,payload_type,payload_size_class,lsb,stego_filename,cover_filename,random_seed,jpeg_quality,resize_scale,noise_sigma
1,core,DOCX,small,1,Flat-Color_1_S__docx_small__lsb1.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
2,core,DOCX,small,2,Flat-Color_1_S__docx_small__lsb2.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
3,core,DOCX,small,3,Flat-Color_1_S__docx_small__lsb3.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
4,core,EXE,small,1,Flat-Color_1_S__exe_small__lsb1.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
5,core,EXE,small,2,Flat-Color_1_S__exe_small__lsb2.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
6,core,EXE,small,3,Flat-Color_1_S__exe_small__lsb3.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
7,core,PDF,small,1,Flat-Color_1_S__pdf_small__lsb1.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
8,core,PDF,small,2,Flat-Color_1_S__pdf_small__lsb2.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
9,core,PDF,small,3,Flat-Color_1_S__pdf_small__lsb3.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
10,core,PPTX,small,1,Flat-Color_1_S__pptx_small__lsb1.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
11,core,PPTX,small,2,Flat-Color_1_S__pptx_small__lsb2.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
12,core,PPTX,small,3,Flat-Color_1_S__pptx_small__lsb3.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
13,core,RTF,small,1,Flat-Color_1_S__rtf_small__lsb1.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
14,core,RTF,small,2,Flat-Color_1_S__rtf_small__lsb2.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
15,core,RTF,small,3,Flat-Color_1_S__rtf_small__lsb3.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
16,core,XLSX,small,1,Flat-Color_1_S__xlsx_small__lsb1.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
17,core,XLSX,small,2,Flat-Color_1_S__xlsx_small__lsb2.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
18,core,XLSX,small,3,Flat-Color_1_S__xlsx_small__lsb3.bmp,Flat-Color_1_S.bmp,42,85,0.9,8.0
19,extended_xl,DOCX,large,1,XL-Synthetic_10_B__docx_large__lsb1.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
20,extended_xl,DOCX,large,2,XL-Synthetic_10_B__docx_large__lsb2.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
21,extended_xl,DOCX,large,3,XL-Synthetic_10_B__docx_large__lsb3.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
22,extended_xl,EXE,large,1,XL-Synthetic_10_B__exe_large__lsb1.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
23,extended_xl,EXE,large,2,XL-Synthetic_10_B__exe_large__lsb2.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
24,extended_xl,EXE,large,3,XL-Synthetic_10_B__exe_large__lsb3.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
25,extended_xl,PDF,large,1,XL-Synthetic_10_B__pdf_large__lsb1.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
26,extended_xl,PDF,large,2,XL-Synthetic_10_B__pdf_large__lsb2.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
27,extended_xl,PDF,large,3,XL-Synthetic_10_B__pdf_large__lsb3.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
28,extended_xl,PPTX,large,1,XL-Synthetic_10_B__pptx_large__lsb1.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
29,extended_xl,PPTX,large,2,XL-Synthetic_10_B__pptx_large__lsb2.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
30,extended_xl,PPTX,large,3,XL-Synthetic_10_B__pptx_large__lsb3.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
31,extended_xl,RTF,large,1,XL-Synthetic_10_B__rtf_large__lsb1.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
32,extended_xl,RTF,large,2,XL-Synthetic_10_B__rtf_large__lsb2.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
33,extended_xl,RTF,large,3,XL-Synthetic_10_B__rtf_large__lsb3.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
34,extended_xl,XLSX,large,1,XL-Synthetic_10_B__xlsx_large__lsb1.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
35,extended_xl,XLSX,large,2,XL-Synthetic_10_B__xlsx_large__lsb2.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
36,extended_xl,XLSX,large,3,XL-Synthetic_10_B__xlsx_large__lsb3.bmp,XL-Synthetic_10_B.bmp,42,85,0.9,8.0
