stego_filename,subset,cover_filename,cover_category,cover_size_label,cover_format,payload_filename,payload_type,payload_size_class,lsb,expected_type,predicted_type,correct,status,runtime_seconds
Flat-Color_1_S__docx_small__lsb1.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P01.docx,DOCX,small,1,DOCX,DOCX,1,ok,0.291429
Flat-Color_1_S__docx_small__lsb2.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P01.docx,DOCX,small,2,DOCX,DOCX,1,ok,0.221876
Flat-Color_1_S__docx_small__lsb3.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P01.docx,DOCX,small,3,DOCX,DOCX,1,ok,0.235444
Flat-Color_1_S__exe_small__lsb1.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P06.exe,EXE,small,1,EXE,EXE,1,ok,0.235590
Flat-Color_1_S__exe_small__lsb2.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P06.exe,EXE,small,2,EXE,EXE,1,ok,0.184657
Flat-Color_1_S__exe_small__lsb3.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P06.exe,EXE,small,3,EXE,EXE,1,ok,0.171048
Flat-Color_1_S__pdf_small__lsb1.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P02.pdf,PDF,small,1,PDF,PDF,1,ok,0.181663
Flat-Color_1_S__pdf_small__lsb2.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P02.pdf,PDF,small,2,PDF,PDF,1,ok,0.194374
Flat-Color_1_S__pdf_small__lsb3.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P02.pdf,PDF,small,3,PDF,PDF,1,ok,0.195789
Flat-Color_1_S__pptx_small__lsb1.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P04.pptx,PPTX,small,1,PPTX,PPTX,1,ok,0.193970
Flat-Color_1_S__pptx_small__lsb2.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P04.pptx,PPTX,small,2,PPTX,PPTX,1,ok,0.182260
Flat-Color_1_S__pptx_small__lsb3.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P04.pptx,PPTX,small,3,PPTX,PPTX,1,ok,0.196972
Flat-Color_1_S__rtf_small__lsb1.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P05.rtf,RTF,small,1,RTF,RTF,1,ok,0.182145
Flat-Color_1_S__rtf_small__lsb2.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P05.rtf,RTF,small,2,RTF,RTF,1,ok,0.203173
Flat-Color_1_S__rtf_small__lsb3.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P05.rtf,RTF,small,3,RTF,RTF,1,ok,0.187870
Flat-Color_1_S__xlsx_small__lsb1.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P03.xlsx,XLSX,small,1,XLSX,XLSX,1,ok,0.243033
Flat-Color_1_S__xlsx_small__lsb2.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P03.xlsx,XLSX,small,2,XLSX,XLSX,1,ok,0.193825
Flat-Color_1_S__xlsx_small__lsb3.bmp,core,Flat-Color_1_S.bmp,Flat-Color,S,bmp,P03.xlsx,XLSX,small,3,XLSX,XLSX,1,ok,0.181782
Flat-Color_2_M__docx_large__lsb3.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P01.docx,DOCX,large,3,DOCX,DOCX,1,ok,0.751605
Flat-Color_2_M__docx_medium__lsb2.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P01.docx,DOCX,medium,2,DOCX,DOCX,1,ok,1.686500
Flat-Color_2_M__docx_medium__lsb3.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P01.docx,DOCX,medium,3,DOCX,DOCX,1,ok,1.796424
Flat-Color_2_M__docx_small__lsb1.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P01.docx,DOCX,small,1,DOCX,DOCX,1,ok,1.083111
Flat-Color_2_M__docx_small__lsb2.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P01.docx,DOCX,small,2,DOCX,DOCX,1,ok,1.048173
Flat-Color_2_M__docx_small__lsb3.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P01.docx,DOCX,small,3,DOCX,DOCX,1,ok,0.934314
